TSNE1;TSNE2
13.842656;-20.596756
77.43595;-54.97364
81.69728;-57.2815
24.378616;6.4437475
67.85111;71.54976
-11.7121;-19.785444
-18.838173;-27.794134
89.59437;-15.2446165
62.176044;-11.888986
69.89486;74.002815
-66.732796;36.421787
-14.104436;-23.435637
1.1951287;35.95062
-21.089876;49.93561
47.715424;-27.69051
1.4255971;-15.095799
7.093442;-12.837941
99.52952;-11.996343
50.1888;20.812746
0.67384815;108.024635
-17.107918;-69.99623
108.96055;12.403351
88.16568;-9.438074
70.750145;72.41462
1.5575567;-37.581135
5.121439;-14.460523
1.9593519;3.6997895
2.9217024;-32.544434
12.415935;-23.343683
82.86537;74.6134
70.68994;72.70031
67.349205;46.221863
6.171718;-16.227726
74.54516;68.177216
-2.680787;-33.654686
77.26997;-54.868935
-22.104387;-82.38614
81.787224;-59.12833
-15.587107;-71.31349
5.361571;-14.197748
-15.654081;-76.268814
-15.82744;-74.29056
22.222118;30.920969
8.932576;-89.298805
-14.744236;-31.52671
-2.390319;-17.034077
80.43585;-55.035027
